TANGGAL,TN,TX,TAVG,RR,SS,RH_AVG,BULAN,Hasil_KNN,Label_KNN,TN_norm,TX_norm,TAVG_norm,RR_norm,SS_norm,RH_AVG_norm,BULAN_norm,TN_norm_kemarin,TX_norm_kemarin,TAVG_norm_kemarin,SS_norm_kemarin,RH_AVG_norm_kemarin,Algoritma_Terpilih,Prediksi_Final_Cuaca,Label_Prediksi,Cluster_Iklim
2024-07-27,23.0,32.6,27.7,0.0,8.0,85.0,7.0,0,Tidak Hujan,0.2750000000000003,0.5250000000000004,0.5499999999999998,0.0,0.9638554216867468,0.5384615384615384,0.5454545454545454,0.4750000000000005,0.4250000000000007,0.5999999999999996,0.5060240963855421,0.3333333333333333,Naive Bayes,0,Tidak Hujan,1
2024-07-28,23.4,33.2,27.7,0.0,8.0,84.0,7.0,1,Hujan,0.375,0.6750000000000007,0.5499999999999998,0.0,0.9638554216867468,0.4871794871794871,0.5454545454545454,0.2750000000000003,0.5250000000000004,0.5499999999999998,0.9638554216867468,0.5384615384615384,Naive Bayes,0,Tidak Hujan,1
2024-07-29,23.8,32.2,27.6,9.5,4.5,82.0,7.0,0,Tidak Hujan,0.4750000000000005,0.4250000000000007,0.5250000000000004,0.0625,0.5421686746987951,0.3846153846153846,0.5454545454545454,0.375,0.6750000000000007,0.5499999999999998,0.9638554216867468,0.4871794871794871,Naive Bayes,1,Hujan,1
2024-07-30,23.4,32.4,27.5,19.0,8.0,86.0,7.0,0,Tidak Hujan,0.375,0.4749999999999996,0.5,0.125,0.9638554216867468,0.5897435897435898,0.5454545454545454,0.4750000000000005,0.4250000000000007,0.5250000000000004,0.5421686746987951,0.3846153846153846,Naive Bayes,1,Hujan,1
2024-07-31,24.0,32.6,27.3,5.0,5.8,84.0,7.0,1,Hujan,0.5250000000000004,0.5250000000000004,0.4500000000000002,0.0328947368421052,0.6987951807228915,0.4871794871794871,0.5454545454545454,0.375,0.4749999999999996,0.5,0.9638554216867468,0.5897435897435898,Naive Bayes,1,Hujan,1
2024-08-01,22.6,34.0,29.5,0.0,5.1,74.5,8.0,0,Tidak Hujan,0.1750000000000007,0.875,1.0,0.0,0.6144578313253011,0.0,0.6363636363636364,0.5250000000000004,0.5250000000000004,0.4500000000000002,0.6987951807228915,0.4871794871794871,Naive Bayes,0,Tidak Hujan,1
2024-08-02,24.0,34.0,27.6,0.0,8.0,80.0,8.0,0,Tidak Hujan,0.5250000000000004,0.875,0.5250000000000004,0.0,0.9638554216867468,0.282051282051282,0.6363636363636364,0.1750000000000007,0.875,1.0,0.6144578313253011,0.0,Naive Bayes,0,Tidak Hujan,1
2024-08-03,23.4,33.0,27.7,28.0,7.0,81.0,8.0,0,Tidak Hujan,0.375,0.625,0.5499999999999998,0.1842105263157894,0.8433734939759036,0.3333333333333333,0.6363636363636364,0.5250000000000004,0.875,0.5250000000000004,0.9638554216867468,0.282051282051282,Naive Bayes,0,Tidak Hujan,1
2024-08-04,23.6,33.0,27.8,0.0,6.5,80.0,8.0,0,Tidak Hujan,0.4250000000000007,0.625,0.5750000000000002,0.0,0.7831325301204819,0.282051282051282,0.6363636363636364,0.375,0.625,0.5499999999999998,0.8433734939759036,0.3333333333333333,Naive Bayes,0,Tidak Hujan,1
2024-08-05,23.2,33.2,28.7,0.0,7.1,74.5,8.0,0,Tidak Hujan,0.3250000000000002,0.6750000000000007,0.7999999999999998,0.0,0.8554216867469878,0.0,0.6363636363636364,0.4250000000000007,0.625,0.5750000000000002,0.7831325301204819,0.282051282051282,Naive Bayes,0,Tidak Hujan,1
2024-08-06,23.2,32.6,26.7,0.0,1.3,87.0,8.0,0,Tidak Hujan,0.3250000000000002,0.5250000000000004,0.2999999999999998,0.0,0.1566265060240964,0.6410256410256411,0.6363636363636364,0.3250000000000002,0.6750000000000007,0.7999999999999998,0.8554216867469878,0.0,Naive Bayes,0,Tidak Hujan,1
2024-08-07,23.2,32.8,25.9,6.0,5.5,83.0,8.0,0,Tidak Hujan,0.3250000000000002,0.5749999999999993,0.0999999999999996,0.0394736842105263,0.6626506024096385,0.4358974358974359,0.6363636363636364,0.3250000000000002,0.5250000000000004,0.2999999999999998,0.1566265060240964,0.6410256410256411,Naive Bayes,1,Hujan,0
2024-08-08,25.0,33.0,28.5,0.1,0.0,74.5,8.0,0,Tidak Hujan,0.7750000000000004,0.625,0.75,0.0006578947368421,0.0,0.0,0.6363636363636364,0.3250000000000002,0.5749999999999993,0.0999999999999996,0.6626506024096385,0.4358974358974359,Naive Bayes,0,Tidak Hujan,0
